strong_G,origin_type,strong_H_ref,raw_entry_ocr
G0002,Hebrew,H0175,"""Aapuv Aaron, ah-ar-6hn'; of Heb. or. [175]; Aaron, the brother of Moses:— Aaron. S. ' AgaSSwv Abaddon ab-ad-ddhn'; of Heb. or. [11]; a destroying angel:— Abaddon."
G0005,Chaldee/Aramaic,H0002,"*Appd Abba, ab-bah'; of Chald. or. [2]; father (as a voc.):— Abba."
G0006,Hebrew,H1893,"""AP«X. Abel, ab'-el; of Heb. or. [1893]; Abel, the son of Adam:— Abel."
G0007,Hebrew,H0029,"""Apia Abla, ab-ee-ah'; of Heb. or. [29]; Abijah, the name of two Isr. :— Abia."
G0008,Hebrew,H0054,"' ApiaBap Ablatbar, ab-ee-ath'-ar; of Heb. or. [54]; Abiathar, anlsr.:— Abiathar."
G0010,Hebrew,H0031,"""APioilS Abioud, ab-ee-ood'; of Heb. or. [31]; Abihud, an Isr :— Abiud."
G0058,Hebrew,H1904,"""A/yop Agar, ac/-ar; of Heb. or. [1904] ; Hagar, the concubine of Abraham:— Hagar."
G0076,Hebrew,H0181,"""Afidu Adam, adorn'; of Heb. or. [181]; Adam, the first man; typ. (of Jesus) man (as his representative) :— Adam."
G0281,Hebrew,H0543,"ou,^ v amen, am-ane'; of Heb. or. [543]; prop. firm, i.e. (flg.) trustworthy; adv. surely (often as in- terj. so be it):— amen, verily."
G0300,Hebrew,H0586,"""Ap.ilv Anion, am^one'; of Heb. or. [586]; Amon, a.n Isr.: — Anion."
G0301,Hebrew,H0531,"Ap.i6s Amos, am-oce'; of Heb. or. [531]; Amos, an Isr. : — Amos."
G0367,Hebrew,H2608,"'Avavtos Ananias, an-an-ee'-as; of Heb. or. [2608] ; Ananias, the name of three Isr. : — Ananias."
G0451,Hebrew,H2584,"""Avvo Anna, an'-nah; of Heb. or. [2584]; Anna, an Israelitess: — Anna."
G0688,Hebrew,H6152,"'Apafila Arabia, ar-ab-ee'-ah; of Eeb. or. [6152]; Arabia, a region of Asia:— Arabia. dpayt aragS. See 686 and io6j."
G0689,Hebrew,H7410,"'Apdu, Aram, ar-am'; of Heb. or. [7410]; Aram (i.e. Ram), an 1st.: — Aram."
G0707,Hebrew,H7414,"'Apifiafafa AH runt baia, ar-ee-math-ah'ee- ah; of Heb. or. [7414] ; Arimathcea (or Ramah), a place in Pal.:— Arimathaaa."
G0728,Hebrew,H6162,"ddpa(3<ov arrbabon, ar-fcrab-oftn'; of Heb. or. [6162]; a pledge, i.e. part of the purchase-money or property given in advance as security for the rest: — earnest."
G0742,Hebrew,H0775,"'Ap<pa£dS Arpbaxad, ar-fax-ad'; of Heb. or. [775]; Arpbaxad, a post-diluvian patriarch:— Ar- phaxad."
G0760,Hebrew,H0609,"*Ao-d Asa, as-ah'; of Heb. or. [609]; Asa, an Isr.:— Asa."
G0765,Hebrew,H0836,"""Ao-fjp Aser, as-ayr1; of Heb. or. [836]; Aser (i.e. Asher), an Isr. tribe:— Aser."
G0000,Hebrew,H0271,"dipiovos apbonos, af -o-nos; from 7 (as a neg.* particle) and 343b; voiceless, i.e. mute (by nature or choice); flg. unmeaning:— dumb, without significa- tion. 88 J. 'A\H Acbaz, akh-adz1; of Heb. or. [271]; Achaz, an Isr. : — Achaz."
G0896,Hebrew,H1168,"BdaX Baal, bah'-al; of Heb. or. [1168]; Baal, a Phoenician deity (used as a symbol of idolatry) : — Baal. £"
G0097,Hebrew,H0894,"BafSvX&v Babalon, bab-oo-lone' ; of Heb. or. [894] ; Babylon, the capital of Chaldsea (lit. or fig. [as a type of tyranny]):— Babylon."
G0903,Hebrew,H1109,"BaXadp, Balaam, bal-ah-am'; of Heb. or. [1109]; Balaam, a Mesopotamian (symb. of a false teacher) :— Balaam."
G0913,Hebrew,H1301,"BapdK Barak, bar-aW; of Heb. or. [1301]; Barak, an Isr. : — Barak. 914- Bapoxtas Barachias, bar-akh-ee'-as; of Heb. or. [1296]; Barachias (i.e. Berechijah), an Isr.:— Barachias."
G0943,Hebrew,H1824,"pdTOS baton, bat'-os; of Heb. or. [1824]; a bath, or measure for liquids:— measure."
G0955,Hebrew,H1100,"BcXCaX Belial, beVee'-al; of Heb. or. [1100]; worthlessness; Belial, as an epithet of Satan:— Belial."
G0958,Hebrew,H1144,"Bcviautv B&niamln, ben-ee-am-een'; of Heb. or. [1144]; Benjamin, an Isr.:— Benjamin."
G0965,Hebrew,H1036,"BuBXWp, Betbl6em, bayth-leh-em' ; of Heb. or. [1036]; Bethleem (i.e. Beth-lechem), a place in Pal. :— Bethlehem."
G1003,Hebrew,H1162,"Bo6\ BAAz. bo-oz'; of Heb. or. [1162]; Booz, (i.e. Boaz), an Isr. :— Booz."
G1007,Hebrew,H1160,"Boo-op BAsAr, bos-or'; of Heb. or. [1160]; Bosor (i.e. Bear), a Moabite:— Bosor."
G1040,Hebrew,H0948,Pvo-o-os bnssAs. boos'-sos; of Heb. or. [948]; white linen:— fine linen.
G0005,Hebrew,H1410,"rd8 Gad, gad; of Heb. or. [1410]; Gad, a tribe of 1st.:— Gad. lOJfi. raSoonvos GadarenAs, gad-ar-ay-nos1; from TaSapd (a town E. of the Jordan); a Gadar- etie or inhab. of Gadara:— Gadarene."
G1056,Hebrew,H1551,"raX.iX.ata Galllala, gal-il-ah-yah; of Heb. or. [1551] ; Galilcea (i.e. the heathen circle), a region of Pal.:— Galilee."
G1059,Hebrew,H1583,"TauaXi^X Gamaliel, gam-al-ee-ale'; of Heb. or. [1583]; Gamaliel (Le. Gamliel), an Isr.:— Gamaliel."
G1066,Hebrew,H1439,"T&t&v Gedeon, ghed-eh-own' ; of Heb. or. [1439] ; Gedeon (i.e. G id[e]on), an Isr. :— Gedeon."
G1086,Hebrew,H1622,"rcpyto-nvos GergesenAs, gher-ghes-ay- nos'; of Heb. or. [1622]; a Gergesene (Le. Girgashite) or one of the aborigines of Pal.:— Gergesene."
G1116,Hebrew,H6017,"rdjioppo GAmArrha, gom'-or-hrhah; of Heb. or. [6017]; Gomorrha (i.e. 'Amorah), a place near the Dead Sea:— Gomorrha."
G0005,Hebrew,H1463,"r<&Y Gog, gogue; of Heb. or. [1463]; Gog, a symb. name for some future Antichrist:— Gog."
G0035,Hebrew,H1732,"AafSCS Dabld, dab-eed'; of Heb. or. [1732]; Dabid (i.e. David), the Isr. king:— David. J"
G7153,Hebrew,H1834,"Aap,ao-Kt)vd$ Damaskenfts, dam-as-kay- nosf; from J754; a Damascene or inhab. of Damas- cus:—Damascene. 11.54- Aapoo-icds Damaakds, dam-as-kos1; of Heb. or. [1834]; Damascus, a city of Syria:— Da- mascus."
G1445,Hebrew,H5877,"""E$ip Sb8r, eb-er1; of Heb. or. [5877]; Eber, a patriarch:— Eber. 1444- 'Eppa'iicds H ebraikdg, heb-rah-ee-kos'; from 7#c?; Hebraic or the Jewish languages- Hebrew. 1445- ""Eppatos H8bral£s, heb-rah'-yos; from 1443; a Hebrcean (l.e. Hebrew) or Jew: — Hebrew."
G1478,Hebrew,H2396,"'EjcxCas £z8klas, ed-zek-ee'-as; of Heb. or. [2396]; Ezekias (i.e. Hezekiah), an Isr.:— Ezekias."
G1639,Hebrew,H5867,"'EXap,CrT|S islamites, el-am-ee'-tace; of Heb. or. [5867] ; an Blamite or Persian:— Elamite."
G1648,Hebrew,H0499,"'EXed^ap Eleazar, el-eh-ad'-zar; of Heb. or. [499]; Eleazar, an Isr.:— Eleazar."
G1662,Hebrew,H0471,"'EXiaiccCp. (jllakeiin, el-ee-ak-ime' ; of Heb. or. [471]; Eliakim, an Isr.:— Eliakim."
G1663,Hebrew,H0461,"'EXi4f,«p fiUezer, el-ee-ed'-zer; of Heb. or. [461] ; Eliezer, an Isr. : — Eliezer."
G1665,Hebrew,H0472,"'EXurdpVr f lisab. t el-ee-sab'-et; of Heb. or. [472] ; Elisabet, an Israelitess:— Elisabeth."
G1666,Hebrew,H0477,"'EXunratos £llssal5n, el-is-sah'-yos; of Heb. or. [477] ; Elissceus, an Isr.:— Elissfflus."
G1694,Hebrew,H6005,"'Ejij).avo\)T|X tmiuaiiuu.'l em-man-oo- ale'; of Heb. or. [6005] ; God with us; Emmanuel, a name of Christ:— Emmanuel."
G1697,Hebrew,H3544,"'E|i(iop £mmAr, em-mor1; of Heb. or. [3544]; Emmor (i.e. Chamor), a Canaanite:— Emmor."
G1800,Hebrew,H0583,"'Evws Eno8, en-oce'; of Heb. or. [583]; .Enos (i.e. Enosh), a patriarch:— Enos."
G1802,Hebrew,H2585,"'Ev<4x £nok, en-oke'; of Heb. or. [2585]; Enoch (i.e. Ghanok), an antediluvian:— Enoch. 4J «x. See 7jtf"
G2074,Hebrew,H2696,"'Eo-ptiu, Esrom, es-rome; of Heb. or. [2696]; Esrom (i.e. CTieisron), an Isr. :— Esrom."
G2096,Hebrew,H8332,"Eva fina, yoo1 -ah; of Heb. or. [8332] ; Eua (or Eva, i.e. Chavvah), the first woman:— Eve."
G2188,Chaldee/Aramaic,H6606,"I<p<pa0d ephpbatha, ef-fath-ah'; of Chald. or. [6606] ; be opened!:— Ephphatha."
G2196,Hebrew,H2226,"Zapd Zara, dzar-ah'; of Heb. or. [2226]; Zara (i.e. Zerach), an Isr.:— Zara."
G2197,Hebrew,H2148,"ZaxapCas Zacbartas, daalili-ar-ee'-as; of Heb. or. [2148] ; Zacharias (i.e. Zechariah), the name of two Isr. :— Zacharias."
G2262,Hebrew,H6147,"""Hp Br, ayr; of Heb. or. [6147]; Br, an Isr.:— Er."
G2268,Hebrew,H3470,"'Ho-atas Heaalaa, hay-sah-ee'-as; of Heb. or. [3470]; Hesaias (i.e. Jeshajah), an Isr. :— Esaiaa."
G2269,Hebrew,H6216,"'HeraC Esau. ay-soW; of Heb. or. [6216]; Esau, an Edomite:— Esau."
G2282,Hebrew,H8559,"9AVir» tbalpo, thal'-po; prob. akin to flaXXo) (hallo (to warm); to brood, I.e. (fig.) to /os- ier.—feherish? ~~ 2283.^&&JMp Tbamar, tham'-ar; of Heb. or. [8559]; TAamar(i.e. Tamar), an Israelitess:— Thamar."
G2291,Hebrew,H8646,"0dpa Tbara, thar'-ah; of Heb. or. [8646]-, Thara (i.e, Terach). the father of Abraham:— Thara. Tharhreho Eeos GREEK DICTIONARY OF THE NEW TESTAMENT."
G2383,Hebrew,H8971,"'Idtipos IaSlros, ee-ah'-i-ros; of Heb. or. [8971] ; Jairus (i.e. Jair), an Isr. :— Jairus. 238 Jf. 'IaKiSP Iakob, ee-afc-ooe'; of Heb. or. [3290]; Jacob (i.e. Ja'akob), the progenitor of the Isr. ; also an 1st.: — Jacob. SS5."
G2391,Hebrew,H3382,"'IdptS Iarfd ee-ar'-ed; of Heb. or. [3382]; Jared (i.e. Jered), an antediluvian:— Jared."
G2401,Hebrew,H0123,"'ISovpaia Jddamala, id-oo-mah'-yah; of Heb. or. [123] ; Idumcea (i.e. Edom), a region E. (and S.) of Pal. :— Idumeea."
G2403,Hebrew,H0348,"'leiX^X Iezabel, ee-ed-zab-ale'; of Heb. or. [348]; Jezabel (i.e. Tezebel), a Tyrian woman (used as a synonym of a termagant or false teacher) :— Jezabel."
G2414,Hebrew,H3389,"'Iepoo-dXvpa Hierftsoluma, ftee-er-os-oJ'- oo-mah; of Heb. or. [3389]; Hierosolyma (i.e. Jeru- shalaim), the capital of Pal. : — Jerusalem. Comp. 24/g."
G2419,Hebrew,H8389,"'Iepovo-oX^n merdusalem, hee-er-oo- sal-ame'; of Heb. or. [8389]; Hierusalem (i.e. Jerush- alem), the capital of Pal. :— Jerusalem. Comp."
G2423,Hebrew,H3204,"'IcxovCas ISchSntaa, ee-ekh-on-ee'-as; of Heb. or. [3204]; Jechonias (i.e. Jekonjah), an Isr.: — Jechonias. Ii)o-ovs Iesouu, ee-ay-sooce' ; of Heb. or. [3091] ; Jesus (i.e. Jehoshua), the name of our Lord and tw» (three) other Isr.:— Jesus."
G2464,Hebrew,H3327,"Io-adtt Isaak, ee-sah-ak'; of Heb. or. [3327]; Isaac (i.e. Jitschak), the son of Abraham:— Isaac. &£"
G2466,Hebrew,H3485,"'Lrax&p Isacbar, ee-sakh-ar1; of Heb. or. [3485] ; Isachar (i.e. Jissaskar), a son of Jacob (fig. his desc.):— Issachar. 24S"
G2473,Hebrew,H8478,"to""<5<|n>xos lsdpsncbds, ee-sop'-soo-khos; from 2470 and 5300; of similar spirit: — likeminded. 2474- 'I<rpat}X Israel, is-rah-ale'; of Heb. or. [8478]; Israel (i.e. Jisrael), the adopted name of Jacob, includ. his desc. (lit. or fig.):— Israel."
G2484,Hebrew,H8195,"'Irovpata Itdurala, ee-too-rah'-yah; of Heb. or. [8195] ; Iturcea (i.e. Jetur), a region of PaL :— Ituraa."
G2488,Hebrew,H3147,"IodBctp, Ioattaam, ee-o-ath'-am; of Heb. or. [3147] ; Joatham (i.e. Jotham), an Isr. :— Joatham."
