no,section_numeral_ocr,greek_terms_raw
1,iv,"ἐπιτιμάω, ἐλέγχω (αἰτία, ἔλεγχοϑ)."
2,vi,"προφητεύω, μαντεύομαι."
3,vii,"τιμωρία, κόλασι»."
4,ix,"θεράπων, δοῦλος, διάκονος, οἰκέτης, ὑπηρέτης."
5,x,"δειλία, φόβος, εὐλάβεια."
6,xl,"κακία, κακοήθεια."
7,xil,"ἀγαπάω, φιλέω."
8,xili,"θάλασσα, πέλαγος."
9,?,"χῖν, σκληρός, αὐστηρός."
10,XV,"εἰκών, ὁμοίωσις, ὁμοίωμα."
11,xvii,"θυγγάνω, ἅπτομαι, ψηλαφάω."
12,xvlil,"παλιγγενεσία, dvaxaivwors."
13,xix,"αἰσχύνη, αἰδώς, ἐντροπή."
14,Xxll,"ὁλόκληρος, τέλειος, ἄρτιος."
15,xxv,"βόσκω, ποιμαίνω."
16,xxvi,"ζῆλος, dOovos."
17,xxvii,"ζωή, Bios."
18,xxviii,"κύριος, δεσπότης."
19,xxix,"ἀλαζών, ὑπερήφανος, ὑβριστής."
20,xxx,"ἀντίχριστος, ψευδόχριστον»."
21,xxxli,"παιδείω, νουθεσία."
22,xxxlll,"ἄφεσις, πάρεσι."
23,xxxiv,"pwporoyla, αἰσχρολογία, εὐτραπελία."
24,XXXV,"λατρεύω, λειτουργέω."
25,xxxvi,"πένης, πτωχός."
26,?,"XXXV1l. θυμός, ὀργή, παροργισμός."
27,xxxvili,"ἔλαιον, μύρον (χρίω, ἀλείφω)."
28,xli,"ἀνάπαυσις, ἄνεσιο."
29,?,"ΧΙ], πραύτης, ἐπιείκεια."
30,xliv,"κλέπτης, λῃστής."
31,xlv,"πλύνω, νίπτω, Novo."
32,xlvi,"das, φέγγος, φωστήρ, λύχνος, λαμπάς."
33,xvii,"χάρις, ἔλεος."
34,xlvili,"θεοσεβής, εὐσεβής, εὐλαβής, θρῆσκος, δεισιδαίμων."
35,?,"1. ἱμάτιον, χιτών, ἱματισμός, χλαμύς, στολή, ποδήρη."
36,li,"εὐχή, προσευχή, δέησις, ἔντευξις, εὐχαριστία,"
37,?,"11, ἀσύνθετος, ἄσπονδος."
38,lin,"μακροθυμία, ὑπομονή, avoyn."
39,liv,"στρηνιάω, τρυφάω, σπαταλάω."
40,Iviil,"χρόνος, καιρός."
41,Ivili,"φέρω, φορέω. On the distinction between these words Lobeck (Phry- nichus, Ὁ. 585) has the following remarks: ‘ Inter φέρω et φορέω hoc interesse constat, quod illud actionem simplicem et transitoriam, hoc autem actionis ejusdem continua- tionem significat; verbi causa ἀγγελίην φέρειν, est alicujus rei nunciun afferre, Herod. 111, 53 et 122; v. 143 ἀγγελίην φορέειν, 111. 34, NUNCii munere apud aliquem fungi. Hine"
42,Ix,νέος xatvos.
43,?,"[χ]. μέθη. πότος, οἰνοφλυγία, κῶμος, κραυπάλη."
44,Ixiil,"καπηλεύω, δολόω."
45,Ixili,"ἀγαθωσύνη, χρηστότης."
46,?,"Ιχῖν. δίκτυον, ἀμφίβληστρον, σαγήνη."
47,lxvi,"ἁμαρτία, ἁμάρτημα, παρακοή, ἀνομία, παρανομία,"
48,Ixvll,"ἀρχαῖος, παλαίος."
49,lxvili,"ἄφθαρτος, ἀμάραντος, ἀμαράντινος. e"
50,Ixix,"μετανοέω, μεταμέλομαι."
51,?,"Ιχχὶ. ψυχικός, σαρκικός."
52,lxxli,"σαρκικός, σάρκινοξ."
53,Ixxili,"πνον,, πνεῦμα, ἄνεμος, λαΐλαψ,, θύελλα."
54,Ixxiv,"δοκιμάζω, πειράζω."
55,Ixxvi,"λαλέω, λέγω (λαλιά, Aoyos)."
56,Ixxvil,"ἀπολύτρωσις, καταλλαγή, ἱλασμός."
57,Ixxix,"ἀγράμματος, ἰδιώτης."
58,Ixxx,"δοκέω, φαίνομαι. —"
59,Ixxxi,"ζῶον, θηρίον."
60,Ixxxil,"ὑπέρ, ἀντί."
61,lxxxill,"φονεύς, ἀνθρωποκτόνος, σικάριοϑ."
62,Ixxxiv,"κακός, πονηρός, φαῦλος."
63,Ixxxvilil,"ἱερός, ὅσιος, ἅγιος, ἁγνός."
64,Ixxxix,"φωνή, λόγος."
65,xciv,"ἀποκάλυψις, ἐπιφάνεια, φανέρωσις. ᾿"
66,?,"χουν. ἄλλος, ἕτερος."
67,xcvl,"ποιέω, πράσσω."
68,xcevil,"βωμός, θυσιαστήριον."
69,xcvili,"λαός, ἔθνος, δῆμος, ὄχλος."
70,xcix,"βαπτισμός, βάπτισμα."
71,?,"6. σκότος, γνόφος, ζόφος, ἀχλύς."
72,cii,"μόχθος, πόνος, κόπος."
73,cv,"δημιουργός, τεχνίτης."
74,evi,"ἀστεῖος, ὡραῖος, καλός."
